Id,Prediction,Usage
3,0,Private
4,1,Private
6,0,Private
7,0,Private
9,0,Private
13,1,Private
14,1,Private
16,1,Private
18,0,Private
20,0,Private
21,0,Private
23,0,Private
33,1,Private
35,1,Private
38,0,Private
46,1,Private
50,0,Private
51,0,Private
53,0,Private
55,0,Private
56,0,Private
63,0,Private
65,0,Private
67,0,Private
69,0,Private
71,0,Private
72,0,Private
75,1,Private
86,1,Private
91,1,Private
92,1,Private
94,1,Private
97,0,Private
101,1,Private
103,0,Private
108,0,Private
111,0,Private
112,0,Private
113,0,Private
115,1,Private
116,1,Private
121,0,Private
